date,time,open,high,low,close,volume
2026-09-11,09:00,43.0,43.05,42.85,42.9,0
2026-09-11,09:01,42.9,43.1,42.8,43.1,18000
2026-09-11,09:02,43.05,43.1,43.05,43.1,3000
2026-09-11,09:03,43.1,43.1,42.9,42.9,7000
2026-09-11,09:04,42.9,42.9,42.75,42.8,22000
2026-09-11,09:05,42.8,42.8,42.8,42.8,3000
2026-09-11,09:06,42.8,42.8,42.75,42.75,10000
2026-09-11,09:07,42.7,42.7,42.55,42.55,16000
2026-09-11,09:08,42.55,42.55,42.25,42.3,44000
2026-09-11,09:09,42.45,42.45,42.45,42.45,5410
2026-09-11,09:10,42.6,42.6,42.45,42.5,8002
2026-09-11,09:11,42.5,42.5,42.5,42.5,1250
2026-09-11,09:12,42.5,42.5,42.5,42.5,1000
2026-09-11,09:13,42.5,42.6,42.5,42.6,2000
2026-09-11,09:14,42.55,42.65,42.5,42.55,6000
2026-09-11,09:15,42.6,42.6,42.5,42.5,10010
2026-09-11,09:17,42.45,42.45,42.45,42.45,1000
2026-09-11,09:18,42.45,42.45,42.45,42.45,1295
2026-09-11,09:19,42.6,42.6,42.6,42.6,1217
2026-09-11,09:20,42.8,42.8,42.8,42.8,2000
2026-09-11,09:21,42.7,42.7,42.7,42.7,4000
2026-09-11,09:22,42.65,42.65,42.65,42.65,1005
2026-09-11,09:24,42.65,42.65,42.65,42.65,4455
2026-09-11,09:26,42.65,42.7,42.65,42.7,5000
2026-09-11,09:27,42.7,42.7,42.7,42.7,2000
2026-09-11,09:28,42.65,42.65,42.65,42.65,1000
2026-09-11,09:29,42.7,42.7,42.7,42.7,1000
2026-09-11,09:30,42.65,42.75,42.65,42.75,5494
2026-09-11,09:31,42.75,42.9,42.7,42.85,15019
2026-09-11,09:32,42.9,43.05,42.9,43.05,3021
2026-09-11,09:34,43.4,43.4,43.4,43.4,5000
2026-09-11,09:35,43.4,43.4,43.15,43.15,15010
2026-09-11,09:40,43.15,43.15,43.1,43.1,2000
2026-09-11,09:41,43.05,43.05,43.05,43.05,1000
2026-09-11,09:42,43.0,43.0,43.0,43.0,3000
2026-09-11,09:43,43.0,43.0,43.0,43.0,1001
2026-09-11,09:44,43.05,43.05,43.05,43.05,1000
2026-09-11,09:48,43.05,43.1,43.05,43.1,3000
2026-09-11,09:49,43.15,43.2,43.15,43.2,7000
2026-09-11,09:50,43.25,43.25,43.25,43.25,3000
2026-09-11,09:51,43.25,43.25,43.25,43.25,3000
2026-09-11,09:52,43.25,43.25,43.25,43.25,1000
2026-09-11,09:54,43.2,43.2,43.2,43.2,1000
2026-09-11,09:55,43.2,43.2,43.2,43.2,1000
2026-09-11,09:57,43.15,43.35,43.15,43.35,3000
2026-09-11,09:58,43.3,43.3,43.3,43.3,2001
2026-09-11,10:00,43.35,43.35,43.3,43.3,3000
2026-09-11,10:01,43.25,43.25,43.2,43.2,6000
2026-09-11,10:02,43.3,43.5,43.3,43.5,15000
2026-09-11,10:03,43.5,43.5,43.45,43.5,4005
2026-09-11,10:06,43.35,43.6,43.35,43.6,8000
2026-09-11,10:07,43.45,43.45,43.3,43.3,3000
2026-09-11,10:08,43.3,43.3,43.3,43.3,1000
2026-09-11,10:09,43.3,43.3,43.3,43.3,2001
2026-09-11,10:11,43.25,43.25,43.25,43.25,2000
2026-09-11,10:13,43.3,43.5,43.3,43.5,8000
2026-09-11,10:14,43.5,43.5,43.5,43.5,1000
2026-09-11,10:15,43.55,43.65,43.55,43.65,11271
2026-09-11,10:16,43.9,44.0,43.9,44.0,15029
2026-09-11,10:17,44.05,44.35,44.05,44.2,17100
2026-09-11,10:18,44.2,44.25,44.2,44.25,4000
2026-09-11,10:19,44.2,44.25,44.2,44.25,5044
