date,time,open,high,low,close,volume
2026-09-10,09:00,445.5,445.5,445.5,445.5,0
2026-09-10,09:02,445.0,445.0,445.0,445.0,3000
2026-09-10,09:04,442.0,442.0,442.0,442.0,4000
2026-09-10,09:06,442.0,442.0,442.0,442.0,6000
2026-09-10,09:08,440.0,440.0,440.0,440.0,6412
2026-09-10,09:10,440.0,440.0,440.0,440.0,4040
2026-09-10,09:12,440.0,440.0,440.0,440.0,6261
2026-09-10,09:14,439.5,439.5,439.5,439.5,3086
2026-09-10,09:16,439.5,439.5,439.5,439.5,4326
2026-09-10,09:18,439.5,439.5,439.5,439.5,11243
2026-09-10,09:20,440.0,440.0,440.0,440.0,12357
2026-09-10,09:22,441.0,441.0,441.0,441.0,1300
2026-09-10,09:24,441.5,441.5,441.5,441.5,2212
2026-09-10,09:26,443.0,443.0,443.0,443.0,15595
2026-09-10,09:28,444.5,444.5,444.5,444.5,11200
2026-09-10,09:30,445.5,445.5,445.5,445.5,17259
2026-09-10,09:32,446.0,446.0,446.0,446.0,9365
2026-09-10,09:34,446.0,446.0,446.0,446.0,9071
2026-09-10,09:36,447.5,447.5,447.5,447.5,12193
2026-09-10,09:38,447.0,447.0,447.0,447.0,10002
2026-09-10,09:40,447.0,447.0,447.0,447.0,4358
2026-09-10,09:42,447.0,447.0,447.0,447.0,12595
2026-09-10,09:44,449.5,449.5,449.5,449.5,22292
2026-09-10,09:46,449.5,449.5,449.5,449.5,4262
2026-09-10,09:48,449.0,449.0,449.0,449.0,10663
2026-09-10,09:50,448.0,448.0,448.0,448.0,2240
2026-09-10,09:52,448.5,448.5,448.5,448.5,5100
2026-09-10,09:54,448.0,448.0,448.0,448.0,3201
2026-09-10,09:56,447.0,447.0,447.0,447.0,2217
2026-09-10,09:58,447.0,447.0,447.0,447.0,4309
2026-09-10,10:00,446.0,446.0,446.0,446.0,4225
2026-09-10,10:02,445.5,445.5,445.5,445.5,6140
2026-09-10,10:04,445.0,445.0,445.0,445.0,1101
2026-09-10,10:06,444.5,444.5,444.5,444.5,3200
2026-09-10,10:08,445.0,445.0,445.0,445.0,2304
2026-09-10,10:10,446.0,446.0,446.0,446.0,1310
2026-09-10,10:12,446.0,446.0,446.0,446.0,3000
2026-09-10,10:14,446.0,446.0,446.0,446.0,2266
2026-09-10,10:16,445.0,445.0,445.0,445.0,3200
2026-09-10,10:18,445.0,445.0,445.0,445.0,2265
2026-09-10,10:20,444.5,444.5,444.5,444.5,2546
2026-09-10,10:22,445.0,445.0,445.0,445.0,3003
2026-09-10,10:24,445.0,445.0,445.0,445.0,2000
2026-09-10,10:26,445.0,445.0,445.0,445.0,1200
2026-09-10,10:28,445.0,445.0,445.0,445.0,3024
2026-09-10,10:30,445.0,445.0,445.0,445.0,2200
2026-09-10,10:32,444.5,444.5,444.5,444.5,6100
2026-09-10,10:34,444.5,444.5,444.5,444.5,1100
2026-09-10,10:36,444.5,444.5,444.5,444.5,2000
2026-09-10,10:38,444.5,444.5,444.5,444.5,1115
2026-09-10,10:40,444.5,444.5,444.5,444.5,3057
