date,time,open,high,low,close,volume
2026-09-21,09:00,42.05,42.05,41.05,41.85,0
2026-09-21,09:01,41.9,41.95,41.85,41.9,6000
2026-09-21,09:02,41.8,41.8,41.7,41.7,12000
2026-09-21,09:03,41.7,41.7,41.65,41.65,7000
2026-09-21,09:04,41.75,41.75,41.75,41.75,3000
2026-09-21,09:05,41.75,41.8,41.7,41.8,38000
2026-09-21,09:06,41.85,41.9,41.85,41.9,5000
2026-09-21,09:07,42.0,42.0,42.0,42.0,2000
2026-09-21,09:08,41.95,41.95,41.95,41.95,8000
2026-09-21,09:09,41.95,41.95,41.9,41.9,5682
2026-09-21,09:10,41.9,41.9,41.85,41.85,11000
2026-09-21,09:11,41.85,41.85,41.8,41.8,4000
2026-09-21,09:12,41.8,41.8,41.8,41.8,9150
2026-09-21,09:14,41.8,42.2,41.8,42.2,135050
2026-09-21,09:15,42.15,42.45,42.15,42.25,41000
2026-09-21,09:16,42.25,42.6,42.25,42.55,54273
2026-09-21,09:17,42.5,42.5,42.25,42.25,18020
2026-09-21,09:18,42.2,42.2,42.05,42.1,18000
2026-09-21,09:19,42.1,42.1,42.05,42.1,9000
2026-09-21,09:20,42.15,42.15,42.15,42.15,1000
2026-09-21,09:21,42.15,42.15,42.1,42.1,13000
2026-09-21,09:22,42.1,42.1,42.1,42.1,4000
2026-09-21,09:23,42.1,42.1,42.1,42.1,2000
2026-09-21,09:25,42.15,42.15,42.1,42.1,3201
2026-09-21,09:26,42.15,42.15,42.15,42.15,1000
2026-09-21,09:27,42.15,42.2,42.15,42.2,9020
2026-09-21,09:28,42.25,42.3,42.25,42.3,11050
2026-09-21,09:29,42.3,42.3,42.25,42.3,19000
2026-09-21,09:30,42.25,42.25,42.2,42.2,13040
2026-09-21,09:31,42.2,42.25,42.2,42.25,2000
2026-09-21,09:32,42.25,42.75,42.25,42.65,97588
2026-09-21,09:33,42.65,42.75,42.6,42.7,48067
2026-09-21,09:34,42.65,42.65,42.55,42.55,17000
2026-09-21,09:35,42.55,42.6,42.55,42.6,8020
2026-09-21,09:36,42.55,42.6,42.55,42.6,8000
2026-09-21,09:37,42.55,42.55,42.55,42.55,3000
2026-09-21,09:38,42.5,42.5,42.5,42.5,3001
2026-09-21,09:39,42.55,42.55,42.5,42.5,4000
2026-09-21,09:40,42.55,42.6,42.55,42.6,3000
2026-09-21,09:41,42.6,42.6,42.6,42.6,32000
2026-09-21,09:42,42.6,42.85,42.6,42.85,107656
2026-09-21,09:43,42.85,42.85,42.8,42.8,13200
2026-09-21,09:44,42.8,42.9,42.75,42.9,22008
2026-09-21,09:45,42.9,43.05,42.9,43.0,68292
2026-09-21,09:46,43.0,43.0,42.95,42.95,8000
2026-09-21,09:47,42.9,42.9,42.9,42.9,2050
2026-09-21,09:48,42.9,42.9,42.9,42.9,17000
2026-09-21,09:49,42.8,42.8,42.8,42.8,5000
2026-09-21,09:50,42.8,43.05,42.8,43.05,60274
2026-09-21,09:51,43.1,43.1,43.0,43.1,34230
2026-09-21,09:52,43.1,43.1,43.0,43.0,9227
2026-09-21,09:53,43.0,43.05,43.0,43.0,14000
2026-09-21,09:54,43.0,43.0,43.0,43.0,15120
2026-09-21,09:55,42.95,42.95,42.95,42.95,3200
2026-09-21,09:56,42.95,42.95,42.95,42.95,4100
2026-09-21,09:57,42.95,42.95,42.95,42.95,1000
2026-09-21,09:58,42.95,43.1,42.95,43.05,25060
2026-09-21,09:59,43.05,43.5,43.05,43.35,72353
2026-09-21,10:00,43.3,43.45,43.25,43.4,31000
2026-09-21,10:01,43.25,43.25,43.25,43.25,2126
2026-09-21,10:02,43.25,43.35,43.2,43.35,9130
2026-09-21,10:03,43.35,43.85,43.35,43.65,200188
2026-09-21,10:04,43.65,43.65,43.5,43.5,40105
2026-09-21,10:05,43.45,43.45,43.4,43.4,2030
2026-09-21,10:06,43.4,43.5,43.4,43.45,25050
2026-09-21,10:07,43.5,43.75,43.5,43.6,39446
2026-09-21,10:08,43.55,43.55,43.45,43.55,18100
2026-09-21,10:09,43.6,43.6,43.6,43.6,1000
2026-09-21,10:10,43.6,43.6,43.55,43.55,3000
2026-09-21,10:11,43.55,43.55,43.55,43.55,6011
2026-09-21,10:12,43.55,43.55,43.55,43.55,5000
2026-09-21,10:13,43.5,43.5,43.5,43.5,5000
2026-09-21,10:14,43.55,43.55,43.45,43.45,20000
2026-09-21,10:15,43.55,43.55,43.5,43.5,3483
2026-09-21,10:16,43.6,43.6,43.55,43.55,15001
2026-09-21,10:17,43.6,43.6,43.55,43.6,8000
2026-09-21,10:18,43.55,43.65,43.55,43.65,26712
2026-09-21,10:19,43.65,43.75,43.6,43.6,19608
2026-09-21,10:20,43.6,43.6,43.6,43.6,7253
2026-09-21,10:21,43.55,43.65,43.55,43.65,5000
2026-09-21,10:22,43.6,43.6,43.6,43.6,12091
2026-09-21,10:23,43.6,43.6,43.6,43.6,5000
2026-09-21,10:24,43.6,43.6,43.6,43.6,1000
2026-09-21,10:25,43.65,43.65,43.6,43.6,11000
2026-09-21,10:27,43.6,43.75,43.6,43.65,52561
2026-09-21,10:28,43.65,43.65,43.65,43.65,10020
2026-09-21,10:29,43.65,43.7,43.6,43.7,4000
2026-09-21,10:30,43.7,43.75,43.65,43.75,15207
2026-09-21,10:31,43.65,43.65,43.65,43.65,4150
2026-09-21,10:32,43.7,43.7,43.6,43.6,9151
2026-09-21,10:34,43.6,43.6,43.6,43.6,12000
2026-09-21,10:35,43.6,43.6,43.6,43.6,2460
2026-09-21,10:36,43.6,43.6,43.55,43.55,3146
2026-09-21,10:37,43.6,43.8,43.6,43.8,32714
2026-09-21,10:38,43.8,44.2,43.8,44.15,230873
2026-09-21,10:39,44.15,44.2,44.0,44.05,31162
2026-09-21,10:40,44.05,44.05,44.0,44.05,18092
2026-09-21,10:41,44.05,44.1,44.05,44.1,8108
2026-09-21,10:42,44.1,44.1,44.0,44.05,4145
2026-09-21,10:43,44.0,44.0,43.95,43.95,7100
2026-09-21,10:44,43.95,44.0,43.9,44.0,13110
2026-09-21,10:45,44.0,44.0,44.0,44.0,3000
2026-09-21,10:46,43.95,43.95,43.9,43.9,3000
2026-09-21,10:47,43.95,44.3,43.95,44.15,60928
2026-09-21,10:48,44.15,44.2,44.1,44.15,9001
2026-09-21,10:49,44.15,44.2,44.15,44.2,23000
2026-09-21,10:50,44.2,44.2,44.15,44.15,7598
2026-09-21,10:51,44.15,44.15,44.1,44.1,21000
2026-09-21,10:52,44.05,44.15,44.05,44.15,7000
2026-09-21,10:53,44.15,44.25,44.1,44.2,36200
2026-09-21,10:54,44.2,44.2,44.15,44.15,7000
2026-09-21,10:55,44.15,44.15,44.15,44.15,2110
2026-09-21,10:56,44.1,44.3,44.1,44.3,26571
2026-09-21,10:57,44.25,44.3,44.15,44.3,34000
2026-09-21,10:58,44.3,44.45,44.2,44.45,60350
2026-09-21,10:59,44.5,44.65,44.45,44.5,153934
2026-09-21,11:00,44.5,44.55,44.5,44.55,29228
2026-09-21,11:01,44.55,44.65,44.55,44.6,38000
2026-09-21,11:02,44.65,44.75,44.6,44.75,48307
2026-09-21,11:03,44.65,44.65,44.45,44.65,64171
2026-09-21,11:04,44.55,44.6,44.55,44.6,10010
2026-09-21,11:05,44.5,44.6,44.5,44.6,14100
2026-09-21,11:06,44.6,44.6,44.55,44.55,16109
2026-09-21,11:07,44.55,44.6,44.45,44.5,26020
2026-09-21,11:08,44.5,44.8,44.5,44.7,60744
2026-09-21,11:09,44.7,44.8,44.65,44.7,20244
2026-09-21,11:10,44.7,44.8,44.65,44.7,36150
2026-09-21,11:11,44.65,44.7,44.65,44.7,12000
2026-09-21,11:12,44.7,44.75,44.7,44.7,10000
2026-09-21,11:13,44.75,44.75,44.75,44.75,12032
2026-09-21,11:14,44.75,44.75,44.6,44.6,44199
2026-09-21,11:15,44.6,44.6,44.5,44.6,22301
2026-09-21,11:16,44.6,44.65,44.6,44.65,4000
2026-09-21,11:17,44.65,44.65,44.6,44.6,3060
2026-09-21,11:18,44.6,44.6,44.55,44.55,7000
2026-09-21,11:19,44.6,44.75,44.55,44.75,44383
2026-09-21,11:20,44.75,44.8,44.75,44.75,12030
2026-09-21,11:21,44.75,44.8,44.75,44.8,46190
2026-09-21,11:22,44.85,44.85,44.75,44.85,21000
2026-09-21,11:23,44.8,44.8,44.8,44.8,5005
2026-09-21,11:24,44.8,44.85,44.75,44.8,18550
2026-09-21,11:25,44.75,44.8,44.75,44.8,15000
2026-09-21,11:27,44.8,44.8,44.8,44.8,17496
2026-09-21,11:28,44.75,44.75,44.7,44.75,27000
2026-09-21,11:29,44.75,44.75,44.75,44.75,8010
2026-09-21,11:30,44.7,44.75,44.7,44.7,20005
2026-09-21,11:31,44.65,44.65,44.65,44.65,1010
2026-09-21,11:32,44.65,44.7,44.65,44.7,3300
2026-09-21,11:33,44.7,44.7,44.7,44.7,3010
2026-09-21,11:34,44.65,44.75,44.65,44.7,13444
2026-09-21,11:35,44.7,44.75,44.7,44.75,7000
2026-09-21,11:37,44.75,44.75,44.75,44.75,2011
2026-09-21,11:38,44.7,44.7,44.7,44.7,8019
2026-09-21,11:39,44.7,44.7,44.7,44.7,10027
2026-09-21,11:41,44.65,44.65,44.65,44.65,6000
2026-09-21,11:42,44.65,44.65,44.65,44.65,9000
2026-09-21,11:43,44.65,44.65,44.65,44.65,2100
2026-09-21,11:44,44.6,44.6,44.6,44.6,2050
2026-09-21,11:46,44.6,44.65,44.6,44.65,7000
2026-09-21,11:47,44.6,44.6,44.45,44.45,37200
2026-09-21,11:48,44.45,44.5,44.4,44.5,34050
2026-09-21,11:50,44.4,44.4,44.4,44.4,6000
2026-09-21,11:51,44.4,44.4,44.35,44.35,10135
2026-09-21,11:52,44.35,44.35,44.35,44.35,14010
2026-09-21,11:53,44.35,44.35,44.35,44.35,1100
2026-09-21,11:54,44.35,44.35,44.35,44.35,10550
