date,time,open,high,low,close,volume
2026-09-21,09:00,61.0,61.1,60.3,60.4,0
2026-09-21,09:01,60.3,60.8,60.2,60.8,497000
2026-09-21,09:02,60.8,61.0,60.5,60.8,482000
2026-09-21,09:03,60.8,60.9,60.8,60.8,124000
2026-09-21,09:04,60.9,60.9,60.8,60.9,27000
2026-09-21,09:05,60.9,60.9,60.6,60.6,143000
2026-09-21,09:06,60.6,60.6,60.3,60.3,311000
2026-09-21,09:07,60.3,60.4,60.2,60.2,238000
2026-09-21,09:08,60.2,60.2,60.1,60.2,353000
2026-09-21,09:09,60.2,60.3,60.1,60.1,239000
2026-09-21,09:10,60.1,60.2,60.0,60.0,473517
2026-09-21,09:11,60.1,60.1,59.8,59.9,1040388
2026-09-21,09:12,59.9,60.0,59.8,60.0,420835
2026-09-21,09:13,59.9,60.1,59.9,60.1,172179
2026-09-21,09:14,60.1,60.1,60.0,60.1,93014
2026-09-21,09:15,60.1,60.1,60.0,60.1,85255
2026-09-21,09:16,60.0,60.3,60.0,60.3,482183
2026-09-21,09:17,60.2,60.3,60.1,60.1,96049
2026-09-21,09:18,60.2,60.4,60.1,60.3,249491
2026-09-21,09:19,60.3,60.4,60.2,60.2,106388
2026-09-21,09:20,60.2,60.2,60.2,60.2,23808
2026-09-21,09:21,60.2,60.2,60.2,60.2,13110
2026-09-21,09:22,60.2,60.3,60.2,60.3,32328
2026-09-21,09:23,60.3,60.3,60.2,60.2,17103
2026-09-21,09:24,60.3,60.3,60.2,60.3,31350
2026-09-21,09:25,60.3,60.3,60.2,60.2,24104
2026-09-21,09:26,60.3,60.3,60.2,60.3,20692
2026-09-21,09:27,60.3,60.3,60.2,60.3,32200
2026-09-21,09:28,60.3,60.4,60.3,60.3,70416
2026-09-21,09:29,60.4,60.4,60.2,60.3,116628
2026-09-21,09:30,60.3,60.3,60.1,60.1,235854
2026-09-21,09:31,60.1,60.2,60.1,60.1,43606
2026-09-21,09:32,60.1,60.1,60.1,60.1,12895
2026-09-21,09:33,60.1,60.2,60.1,60.2,13313
2026-09-21,09:34,60.2,60.2,60.1,60.2,14526
2026-09-21,09:35,60.1,60.2,60.1,60.2,18233
2026-09-21,09:36,60.2,60.2,60.1,60.1,20232
2026-09-21,09:37,60.1,60.1,60.0,60.1,293183
2026-09-21,09:38,60.2,60.4,60.2,60.4,270881
2026-09-21,09:39,60.4,60.4,60.3,60.4,50347
2026-09-21,09:40,60.4,60.6,60.4,60.6,351057
2026-09-21,09:41,60.7,60.7,60.6,60.6,55235
2026-09-21,09:42,60.7,60.8,60.7,60.8,97483
2026-09-21,09:43,60.8,60.8,60.7,60.8,42151
2026-09-21,09:44,60.8,60.9,60.7,60.9,372490
2026-09-21,09:45,60.9,61.0,60.9,60.9,235261
2026-09-21,09:46,60.9,60.9,60.8,60.9,139060
2026-09-21,09:47,60.9,61.0,60.9,61.0,84229
2026-09-21,09:48,60.9,61.2,60.9,61.2,357215
2026-09-21,09:49,61.1,61.2,61.0,61.1,152030
2026-09-21,09:50,61.0,61.1,61.0,61.1,45882
2026-09-21,09:51,61.0,61.1,61.0,61.0,32100
2026-09-21,09:52,61.0,61.4,61.0,61.3,576823
2026-09-21,09:53,61.3,61.3,61.2,61.3,87556
2026-09-21,09:54,61.2,61.3,61.2,61.2,110402
2026-09-21,09:55,61.2,61.3,61.1,61.1,112493
2026-09-21,09:56,61.1,61.1,61.0,61.0,81470
2026-09-21,09:57,61.0,61.1,61.0,61.0,14037
2026-09-21,09:58,61.1,61.2,61.1,61.2,78087
2026-09-21,09:59,61.2,61.2,61.1,61.1,32780
2026-09-21,10:00,61.1,61.1,61.0,61.0,57202
2026-09-21,10:01,61.0,61.1,60.9,61.0,75100
2026-09-21,10:02,61.0,61.0,60.9,61.0,61110
2026-09-21,10:03,61.0,61.1,61.0,61.0,53012
2026-09-21,10:04,61.0,61.1,61.0,61.1,38660
2026-09-21,10:05,61.0,61.1,61.0,61.0,35038
2026-09-21,10:06,61.0,61.0,61.0,61.0,10050
2026-09-21,10:07,61.0,61.1,61.0,61.1,80625
2026-09-21,10:08,61.1,61.1,61.0,61.0,32166
2026-09-21,10:09,61.0,61.0,61.0,61.0,40348
2026-09-21,10:10,61.0,61.1,60.9,60.9,84150
2026-09-21,10:11,60.9,61.1,60.9,61.0,45400
2026-09-21,10:12,61.0,61.0,61.0,61.0,10602
2026-09-21,10:13,61.0,61.2,61.0,61.2,274715
2026-09-21,10:14,61.2,61.3,61.2,61.2,204169
2026-09-21,10:15,61.2,61.3,61.2,61.2,20000
2026-09-21,10:16,61.2,61.3,61.2,61.3,147001
2026-09-21,10:17,61.3,61.3,61.2,61.2,88188
2026-09-21,10:18,61.2,61.3,61.2,61.2,82750
2026-09-21,10:19,61.2,61.4,61.2,61.4,434651
2026-09-21,10:20,61.4,61.4,61.3,61.3,102641
2026-09-21,10:21,61.3,61.3,61.3,61.3,26614
2026-09-21,10:22,61.3,61.4,61.3,61.4,42315
2026-09-21,10:23,61.3,61.4,61.3,61.3,17023
2026-09-21,10:24,61.3,61.4,61.3,61.4,47864
2026-09-21,10:25,61.3,61.4,61.3,61.4,112969
2026-09-21,10:26,61.3,61.3,61.2,61.3,72548
2026-09-21,10:27,61.3,61.3,61.3,61.3,40034
2026-09-21,10:28,61.3,61.4,61.2,61.2,22889
2026-09-21,10:29,61.2,61.3,61.2,61.3,16200
2026-09-21,10:30,61.2,61.2,61.1,61.2,57038
2026-09-21,10:31,61.1,61.1,61.1,61.1,4000
2026-09-21,10:32,61.1,61.1,61.1,61.1,9060
2026-09-21,10:33,61.2,61.2,61.1,61.1,74337
2026-09-21,10:34,61.1,61.1,61.1,61.1,44038
2026-09-21,10:35,61.1,61.4,61.1,61.3,342446
2026-09-21,10:36,61.3,61.4,61.3,61.3,77520
2026-09-21,10:37,61.3,61.4,61.3,61.4,44610
2026-09-21,10:38,61.4,61.4,61.3,61.3,11610
2026-09-21,10:39,61.3,61.3,61.3,61.3,54058
2026-09-21,10:40,61.3,61.3,61.3,61.3,9304
2026-09-21,10:41,61.3,61.3,61.3,61.3,1710
2026-09-21,10:42,61.3,61.3,61.2,61.2,38025
2026-09-21,10:43,61.2,61.2,61.2,61.2,32551
2026-09-21,10:44,61.1,61.2,61.1,61.1,26000
2026-09-21,10:45,61.1,61.2,61.1,61.1,35860
2026-09-21,10:46,61.1,61.1,61.1,61.1,19034
2026-09-21,10:47,61.1,61.1,61.1,61.1,4337
2026-09-21,10:48,61.1,61.1,61.0,61.0,25012
2026-09-21,10:49,61.0,61.0,60.9,60.9,168447
2026-09-21,10:50,60.9,60.9,60.8,60.9,234304
2026-09-21,10:51,61.0,61.0,60.9,61.0,13150
2026-09-21,10:52,61.0,61.2,60.9,61.1,244270
2026-09-21,10:53,61.1,61.2,61.0,61.0,30184
2026-09-21,10:54,61.0,61.0,61.0,61.0,1000
2026-09-21,10:55,61.0,61.1,61.0,61.1,7000
2026-09-21,10:56,61.0,61.0,61.0,61.0,10348
2026-09-21,10:57,61.0,61.1,61.0,61.0,36529
2026-09-21,10:58,61.0,61.0,61.0,61.0,40282
2026-09-21,10:59,61.0,61.1,61.0,61.0,17110
2026-09-21,11:00,61.0,61.0,61.0,61.0,22367
2026-09-21,11:01,60.9,60.9,60.9,60.9,1371
2026-09-21,11:02,61.0,61.0,60.9,61.0,8050
2026-09-21,11:03,61.0,61.0,61.0,61.0,2013
2026-09-21,11:04,60.9,61.0,60.9,60.9,10007
2026-09-21,11:05,60.9,60.9,60.9,60.9,40036
2026-09-21,11:06,60.9,60.9,60.9,60.9,15200
2026-09-21,11:07,61.0,61.0,60.9,60.9,8600
2026-09-21,11:08,60.9,60.9,60.9,60.9,17100
2026-09-21,11:09,60.9,60.9,60.9,60.9,16515
2026-09-21,11:10,60.9,61.0,60.9,60.9,16000
2026-09-21,11:11,60.9,60.9,60.9,60.9,11900
2026-09-21,11:12,60.9,61.0,60.9,60.9,19438
2026-09-21,11:13,60.9,61.0,60.9,61.0,2012
2026-09-21,11:14,60.9,60.9,60.8,60.8,30030
2026-09-21,11:15,60.8,61.0,60.8,61.0,16020
2026-09-21,11:16,61.0,61.0,61.0,61.0,1010
2026-09-21,11:17,61.0,61.0,60.9,60.9,23048
2026-09-21,11:18,60.9,61.0,60.9,61.0,6413
2026-09-21,11:19,60.9,61.0,60.9,60.9,10000
2026-09-21,11:20,60.9,60.9,60.9,60.9,1218
2026-09-21,11:22,60.9,60.9,60.9,60.9,3000
2026-09-21,11:23,60.9,60.9,60.9,60.9,1601
2026-09-21,11:24,60.8,60.8,60.8,60.8,5500
2026-09-21,11:25,60.9,60.9,60.8,60.8,127484
2026-09-21,11:26,60.8,61.0,60.8,61.0,10485
2026-09-21,11:27,61.0,61.0,60.9,60.9,9020
2026-09-21,11:28,60.9,60.9,60.8,60.9,13443
2026-09-21,11:29,60.8,60.9,60.8,60.9,17253
2026-09-21,11:30,60.8,60.9,60.8,60.9,61063
2026-09-21,11:31,60.9,61.0,60.9,61.0,35000
